pid,id,subcategory
1,1,トップス
1,2,ジャケット/アウター
1,3,パンツ
1,4,スカート
1,5,ワンピース
1,6,靴
1,7,ルームウェア/パジャマ
1,8,レッグウェア
1,9,帽子
1,10,バッグ
1,11,アクセサリー
1,12,ヘアアクセサリー
1,13,小物
1,14,時計
1,15,ウィッグ/エクステ
1,16,浴衣/水着
1,17,スーツ/フォーマル/ドレス
1,18,マタニティ
1,19,その他
2,1,トップス
2,2,ジャケット/アウター
2,3,パンツ
2,4,靴
2,5,バッグ
2,6,スーツ
2,7,帽子
2,8,アクセサリー
2,9,小物
2,10,時計
2,11,水着
2,12,レッグウェア
2,13,アンダーウェア
2,14,その他
3,1,ベビー服(女の子用) ~95cm
3,2,ベビー服(男の子用) ~95cm
3,3,ベビー服(男女兼用) ~95cm
3,4,キッズ服(女の子用) 100cm~
3,5,キッズ服(男の子用) 100cm~
3,6,キッズ服(男女兼用) 100cm~
3,7,キッズ靴
3,8,子ども用ファッション小物
3,9,おむつ/トイレ/バス
3,10,外出/移動用品
3,11,授乳/食事
3,12,ベビー家具/寝具/室内用品
3,13,おもちゃ
3,14,行事/記念品
3,15,その他
4,1,キッチン/食器
4,2,ベッド/マットレス
4,3,ソファ/ソファベッド
4,4,椅子/チェア
4,5,机/テーブル
4,6,収納家具
4,7,ラグ/カーペット/マット
4,8,カーテン/ブラインド
4,9,ライト/照明
4,10,寝具
4,11,インテリア小物
4,12,季節/年中行事
4,13,その他
5,1,本
5,2,漫画
5,3,雑誌
5,4,CD
5,5,DVD/ブルーレイ
5,6,レコード
5,7,テレビゲーム
6,1,おもちゃ
6,2,タレントグッズ
6,3,コミック/アニメグッズ
6,4,トレーディングカード
6,5,フィギュア
6,6,楽器/器材
6,7,コレクション
6,8,ミリタリー
6,9,美術品
6,10,アート用品
6,11,その他
7,1,ベースメイク
7,2,メイクアップ
7,3,ネイルケア
7,4,香水
7,5,スキンケア/基礎化粧品
7,6,ヘアケア
7,7,ボディケア
7,8,オーラルケア
7,9,リラクゼーション
7,10,ダイエット
7,11,その他
8,1,スマートフォン/携帯電話
8,2,スマホアクセサリー
8,3,PC/タブレット
8,4,カメラ
8,5,テレビ/映像機器
8,6,オーディオ機器
8,7,美容/健康
8,8,冷暖房/空調
8,9,生活家電
8,10,その他
9,1,ゴルフ
9,2,フィッシング
9,3,自転車
9,4,トレーニング/エクササイズ
9,5,野球
9,6,サッカー/フットサル
9,7,テニス
9,8,スノーボード
9,9,スキー
9,10,その他スポーツ
9,11,アウトドア
9,12,その他
10,1,アクセサリー(女性用)
10,2,ファッション/小物
10,3,アクセサリー/時計
10,4,日用品/インテリア
10,5,趣味/おもちゃ
10,6,キッズ/ベビー
10,7,素材/材料
10,8,二次創作物
10,9,その他
11,1,音楽
11,2,スポーツ
11,3,演劇/芸能
11,4,イベント
11,5,映画
11,6,施設利用券
11,7,優待券/割引券
11,8,その他
12,1,自動車本体
12,2,自動車タイヤ/ホイール
12,3,自動車パーツ
12,4,自動車アクセサリー
12,5,オートバイ車体
12,6,オートバイパーツ
12,7,オートバイアクセサリー
13,1,まとめ売り
13,2,ペット用品
13,3,食品
13,4,飲料/酒
13,5,日用品/生活雑貨/旅行
13,6,アンティーク/コレクション
13,7,文房具/事務用品
13,8,事務/店舗用品
13,9,その他
